U (V)	I (nA)
0.05	0.54
0.2	-0.08
0.5	-0.06
0.75	-0.05
1	-0.05
1.3	-0.03
1.55	-0.03
1.8	-0.03
2.05	-0.02
2.3	-0.02
2.6	-0.02
2.85	-0.02
3.1	0
3.35	0
3.6	0
3.9	0
4.15	0
4.4	0
4.7	0
4.95	0.02
5.2	0.02
5.45	0.02
5.75	0.03
6	0.03
6.25	0.05
6.5	0.05
6.8	0.05
7.05	0.06
7.3	0.06
7.6	0.08
7.85	0.08
8.1	0.09
8.4	0.09
8.65	0.11
8.9	0.12
9.15	0.12
9.45	0.14
9.7	0.15
9.95	0.17
10.2	0.18
10.5	0.2
10.75	0.21
11	0.23
11.25	0.24
11.55	0.26
11.8	0.27
12.1	0.3
12.35	0.32
12.6	0.35
12.9	0.38
13.15	0.39
13.4	0.42
13.7	0.45
13.95	0.48
14.2	0.51
14.5	0.54
14.75	0.57
15	0.59
15.3	0.62
15.55	0.66
15.8	0.69
16.05	0.72
16.35	0.77
16.6	0.8
16.85	0.83
17.15	0.86
17.4	0.89
17.65	0.92
17.95	0.89
18.2	0.81
18.5	0.74
18.75	0.68
19	0.62
19.3	0.57
19.55	0.51
19.8	0.47
20.1	0.42
20.35	0.41
20.65	0.39
20.9	0.39
21.15	0.41
21.45	0.42
21.7	0.45
21.95	0.48
22.25	0.59
22.5	0.77
22.75	0.98
23.05	1.16
23.3	1.31
23.55	1.43
23.85	1.55
24.1	1.68
24.35	1.85
24.65	2.01
24.9	2.16
25.2	2.31
25.45	2.45
25.7	2.58
26	2.72
26.25	2.85
26.5	2.99
26.8	3.12
27.05	3.24
27.3	3.38
27.6	3.5
27.85	3.53
28.1	3.71
28.4	3.8
28.65	3.9
28.9	3.92
29.2	4.01
29.45	4.08
29.75	4.16
30	4.23
30.25	4.29
30.55	4.37
30.8	4.43
31.05	4.49
31.35	4.55
31.6	4.59
31.9	4.62
32.15	4.67
32.4	4.73
32.7	4.77
32.95	4.82
33.25	4.86
33.5	4.89
33.75	4.94
34.05	4.97
34.3	5.01
34.6	5.03
34.85	4.98
35.1	4.82
35.35	4.58
35.65	4.38
35.9	4.22
36.2	4.07
36.45	3.9
36.7	3.74
37	3.56
37.25	3.38
37.55	3.23
37.8	3.11
38.05	3
38.35	2.91
38.6	2.84
38.9	2.82
39.15	2.93
39.4	3.09
39.7	3.24
39.95	3.33
40.2	3.39
40.5	3.45
40.75	3.54
41	3.72
41.3	3.95
41.55	4.16
41.8	4.34
42.1	4.52
42.35	4.7
42.65	4.91
42.9	5.13
43.15	5.36
43.45	5.6
43.7	5.84
44	6.06
44.25	6.32
44.5	6.57
44.8	6.83
45.05	7.07
45.3	7.31
45.6	7.55
45.85	7.79
46.15	8.03
46.4	8.27
46.65	8.51
46.95	8.73
47.2	8.96
47.45	9.2
47.75	9.42
48	9.65
48.25	9.86
48.55	10.07
48.8	10.28
49.1	10.49
49.35	10.7
49.6	10.91
49.85	11.1
50.15	11.3
50.4	11.49
50.7	11.69
50.95	11.88
51.2	12.06
51.45	12.24
51.75	12.38
52.05	12.45
52.3	12.45
52.55	12.42
52.8	12.42
53.1	12.45
53.35	12.48
53.65	12.5
53.9	12.48
54.2	12.42
54.4	12.35
54.7	12.3
54.95	12.27
55.2	12.27
55.5	12.3
55.75	12.39
56.05	12.5
56.3	12.57
56.55	12.62
56.8	12.66
57.1	12.69
57.4	12.74
57.65	12.75
57.9	12.75
58.15	12.75
58.45	12.75
58.7	12.75
59	12.75
59.25	12.75
59.5	12.75
59.8	12.75
60.05	12.75
60.35	12.75
60.6	12.75
60.85	12.75
61.1	12.75
61.4	12.75
61.65	12.75
61.95	12.75
62.2	12.75
62.45	12.75
62.7	12.75
63	12.75
63.25	12.75
63.55	12.75
63.8	12.75
64.1	12.75
64.3	12.75
64.6	12.75
64.85	12.75
65.15	12.75
65.4	12.75
65.65	12.75
65.9	12.75
66.2	12.75
66.45	12.75
66.75	12.75
67	12.75
67.25	12.75
67.55	12.75
67.8	12.75
68.05	12.75
68.3	12.75
68.6	12.75
68.85	12.75
69.15	12.75
69.4	12.75
69.65	12.75
69.95	12.75
70.2	12.75
70.45	12.75
70.75	12.75
71	12.75
71.25	12.75
71.5	12.75
71.8	12.75
72.05	12.75
72.3	12.75
72.6	12.75
72.85	12.75
73.15	12.75
73.4	12.75
73.65	12.75
73.9	12.75
74.15	12.75
74.45	12.75
74.7	12.75
75	12.75
75.25	12.75
75.5	12.75
75.8	12.75
76.05	12.75
76.3	12.75
76.6	12.75
76.85	12.75
77.1	12.75
77.35	12.75
77.65	12.75
77.9	12.75
78.15	12.75
78.45	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
