U (V)	I (nA)
0.4	-0.11
0.65	-0.09
0.9	-0.09
1.15	-0.09
1.45	-0.09
1.7	-0.08
1.95	-0.08
2.2	-0.08
2.5	-0.08
2.75	-0.08
3	-0.08
3.25	-0.08
3.55	-0.08
3.8	-0.06
4.05	-0.06
4.35	-0.06
4.6	-0.06
4.85	-0.06
5.15	-0.06
5.4	-0.05
5.65	-0.05
5.95	-0.05
6.2	-0.05
6.45	-0.05
6.7	-0.03
7	-0.03
7.25	-0.03
7.55	-0.03
7.8	-0.03
8.05	-0.02
8.3	-0.02
8.6	-0.02
8.85	-0.02
9.1	0
9.4	0
9.65	0
9.9	0
10.2	0
10.45	0
10.7	0.02
10.95	0.02
11.25	0.02
11.5	0.03
11.8	0.03
12.05	0.05
12.3	0.05
12.6	0.05
12.85	0.06
13.1	0.06
13.4	0.08
13.65	0.08
13.9	0.09
14.2	0.09
14.45	0.11
14.7	0.11
15	0.12
15.25	0.14
15.55	0.14
15.8	0.15
16.05	0.15
16.3	0.17
16.6	0.18
16.85	0.18
17.15	0.2
17.4	0.2
17.65	0.21
17.95	0.23
18.2	0.23
18.45	0.24
18.75	0.24
19	0.26
19.25	0.26
19.55	0.27
19.8	0.29
20.1	0.29
20.35	0.3
20.6	0.3
20.9	0.32
21.15	0.32
21.4	0.33
21.7	0.33
21.95	0.33
22.25	0.35
22.5	0.35
22.75	0.36
23.05	0.36
23.3	0.36
23.55	0.38
23.85	0.38
24.1	0.39
24.35	0.39
24.65	0.39
24.9	0.41
25.2	0.41
25.45	0.41
25.7	0.42
26	0.42
26.25	0.44
26.5	0.44
26.8	0.45
27.05	0.45
27.3	0.47
27.6	0.47
27.85	0.48
28.15	0.48
28.4	0.5
28.65	0.5
28.95	0.51
29.2	0.51
29.45	0.53
29.75	0.54
30	0.54
30.3	0.56
30.55	0.57
30.8	0.57
31.1	0.59
31.35	0.6
31.65	0.6
31.9	0.62
32.15	0.63
32.45	0.65
32.7	0.65
33	0.66
33.25	0.68
33.5	0.69
33.8	0.69
34.05	0.71
34.3	0.72
34.6	0.74
34.85	0.74
35.15	0.75
35.4	0.77
35.65	0.77
35.95	0.78
36.2	0.78
36.45	0.8
36.75	0.8
37	0.81
37.25	0.81
37.55	0.81
37.8	0.81
38.1	0.83
38.35	0.83
38.6	0.83
38.9	0.83
39.15	0.83
39.45	0.83
39.7	0.83
39.95	0.83
40.25	0.84
40.5	0.84
40.8	0.84
41.05	0.84
41.3	0.84
41.6	0.84
41.85	0.84
42.1	0.86
42.4	0.86
42.65	0.87
42.95	0.87
43.2	0.89
43.45	0.89
43.7	0.9
44	0.92
44.25	0.93
44.55	0.95
44.8	0.98
45.05	0.99
45.35	1.01
45.6	1.02
45.9	1.05
46.15	1.07
46.4	1.1
46.7	1.11
46.95	1.14
47.25	1.17
47.5	1.2
47.75	1.23
48	1.25
48.3	1.28
48.55	1.31
48.85	1.34
49.1	1.37
49.35	1.4
49.65	1.43
49.9	1.46
50.15	1.49
50.45	1.52
50.7	1.55
51	1.58
51.25	1.61
51.5	1.64
51.75	1.67
52.05	1.7
52.3	1.71
52.6	1.71
52.85	1.73
53.1	1.73
53.4	1.73
53.65	1.73
53.9	1.71
54.2	1.71
54.45	1.7
54.7	1.67
55	1.64
55.25	1.62
55.5	1.59
55.8	1.56
56.05	1.53
56.3	1.5
56.6	1.46
56.85	1.43
57.15	1.38
57.4	1.35
57.65	1.31
57.95	1.26
58.2	1.22
58.45	1.19
58.75	1.16
59	1.14
59.25	1.11
59.55	1.07
59.8	1.04
60.05	0.99
60.35	0.98
60.6	0.96
60.85	0.95
61.15	0.93
61.4	0.95
61.7	0.93
61.95	0.92
62.2	0.89
62.45	0.92
62.75	0.92
63	0.92
63.3	0.93
63.55	0.93
63.8	0.93
64.1	0.95
64.35	0.96
64.65	0.98
64.9	1.01
65.15	1.02
65.45	1.05
65.7	1.07
65.95	1.1
66.25	1.13
66.5	1.17
66.75	1.2
67.05	1.23
67.3	1.28
67.55	1.32
67.8	1.37
68.1	1.41
68.35	1.46
68.65	1.5
68.9	1.55
69.15	1.59
69.4	1.64
69.7	1.68
69.95	1.71
70.25	1.74
70.5	1.77
70.75	1.82
71.05	1.85
71.3	1.88
71.55	1.89
71.85	1.91
72.1	1.92
72.35	1.94
72.6	1.95
72.9	1.97
73.15	1.98
73.45	1.98
73.7	1.98
73.95	1.98
74.2	1.98
74.5	1.98
74.75	1.98
75	1.98
75.3	1.98
75.55	1.98
75.8	2
76.1	2
76.35	2
76.6	1.98
76.85	1.98
77.15	2
77.4	2.01
77.65	2.04
77.95	2.06
78.2	2.07
78.45	2.09
78.6	2.1
78.6	2.07
78.6	2.06
78.6	2.06
78.6	2.04
78.6	2.04
78.6	2.04
78.6	2.04
78.6	2.04
78.55	2.04
78.6	2.04
78.6	2.04
78.6	2.04
78.6	2.03
78.6	2.03
78.6	2.03
78.6	2.03
78.6	2.03
78.6	2.03
78.6	2.03
78.6	2.03
78.6	2.01
78.6	2.01
78.6	2.01
78.6	2.01
78.6	2.01
78.6	2.01
78.6	2.01
78.6	2.01
78.6	2.01
78.6	2
78.6	2
78.6	2
78.6	2
78.6	2
78.6	2
78.6	2
78.6	2
78.6	2
78.6	2
78.6	2
78.55	2
78.6	2
78.6	2
78.55	2
78.6	2
78.6	2
78.6	2
78.6	2
78.6	2
78.6	2
78.6	2
78.6	2.01
78.6	2.01
78.6	2.01
78.6	2.01
78.6	2.01
78.6	2.01
78.6	2.01
78.6	2.01
78.6	2.01
78.6	2.01
78.6	2.03
78.6	2.03
78.6	2.03
78.6	2.03
78.6	2.03
78.6	2.03
78.6	2.03
78.6	2.03
78.6	2.03
78.6	2.03
78.6	2.03
78.6	2.03
78.6	2.03
78.6	2.03
78.6	2.03
78.6	2.03
78.6	2.03
78.6	2.03
78.6	2.03
78.6	2.03
78.6	2.01
78.6	2.01
78.6	2.01
78.55	2.01
78.6	2.01
78.6	2.01
78.6	2.01
78.6	2.01
78.6	2.01
78.6	2.01
78.6	2
78.55	2
78.55	2
78.6	2
78.6	2
78.6	2
78.6	2
78.6	2
78.6	2
78.6	2
78.6	2
78.6	2
78.6	2
78.6	2
78.6	2
78.6	2
