U (V)	I (nA)
0.1	-0.09
0.35	-0.11
0.65	-0.09
0.9	-0.09
1.15	-0.08
1.4	-0.08
1.7	-0.08
1.95	-0.08
2.2	-0.08
2.45	-0.08
2.75	-0.08
3	-0.06
3.25	-0.06
3.55	-0.06
3.8	-0.06
4.05	-0.06
4.3	-0.05
4.6	-0.05
4.85	-0.05
5.1	-0.05
5.35	-0.03
5.65	-0.03
5.9	-0.03
6.15	-0.03
6.45	-0.02
6.7	-0.02
6.95	0
7.25	0
7.5	0.05
7.75	0.12
8	0.18
8.3	0.26
8.55	0.32
8.8	0.38
9.1	0.45
9.35	0.51
9.6	0.59
9.85	0.65
10.15	0.72
10.4	0.8
10.65	0.87
10.95	0.95
11.2	1.02
11.45	1.08
11.75	1.16
12	1.22
12.25	1.28
12.55	1.34
12.8	1.4
13.05	1.44
13.35	1.5
13.6	1.55
13.85	1.59
14.15	1.62
14.4	1.67
14.7	1.7
14.95	1.73
15.2	1.74
15.45	1.77
15.75	1.79
16	1.82
16.25	1.83
16.55	1.85
16.8	1.86
17.05	1.88
17.35	1.89
17.6	1.88
17.85	1.76
18.15	1.47
18.4	1.17
18.7	0.96
18.95	0.75
19.2	0.54
19.5	0.32
19.75	0.12
20	-0.02
20.3	-0.06
20.55	-0.09
20.8	-0.09
21.1	-0.09
21.35	-0.11
21.6	-0.09
21.9	-0.09
22.15	-0.09
22.45	-0.08
22.7	-0.06
22.95	-0.03
23.2	0
23.5	0.08
23.75	0.18
24.05	0.39
24.3	0.81
24.55	1.29
24.85	1.65
25.1	1.95
25.35	2.19
25.6	2.42
25.9	2.66
26.15	2.94
26.4	3.24
26.7	3.5
26.95	3.74
27.25	3.95
27.5	4.17
27.75	4.37
28.05	4.55
28.3	4.7
28.55	4.85
28.85	4.98
29.1	5.1
29.35	5.21
29.65	5.31
29.9	5.4
30.2	5.48
30.45	5.55
30.7	5.61
31	5.67
31.25	5.7
31.5	5.73
31.8	5.76
32.05	5.76
32.35	5.78
32.6	5.78
32.85	5.78
33.15	5.78
33.4	5.75
33.65	5.73
33.9	5.72
34.2	5.72
34.45	5.67
34.75	5.52
35	5.24
35.25	4.85
35.55	4.49
35.8	4.17
36.05	3.87
36.35	3.56
36.6	3.21
36.9	2.85
37.15	2.48
37.4	2.15
37.7	1.86
37.95	1.61
38.2	1.37
38.5	1.13
38.75	0.92
39.05	0.74
39.3	0.57
39.55	0.44
39.85	0.32
40.1	0.21
40.35	0.14
40.65	0.18
40.9	0.41
41.2	0.65
41.45	0.84
41.7	0.98
41.95	1.08
42.25	1.22
42.5	1.4
42.8	1.7
43.05	2.03
43.3	2.34
43.55	2.6
43.85	2.87
44.1	3.14
44.4	3.45
44.65	3.77
44.9	4.08
45.2	4.38
45.45	4.68
45.7	4.97
46	5.27
46.25	5.57
46.5	5.87
46.8	6.15
47.1	6.44
47.3	6.71
47.6	6.98
47.9	7.23
48.1	7.5
48.4	7.74
48.65	7.98
48.9	8.21
49.2	8.45
49.45	8.66
49.75	8.87
50	9.06
50.25	9.26
50.55	9.45
50.8	9.65
51.05	9.84
51.3	10.01
51.6	10.16
51.85	10.23
52.15	10.25
52.4	10.19
52.65	10.1
52.95	10.02
53.2	9.96
53.45	9.9
53.75	9.8
54	9.66
54.25	9.47
54.55	9.27
54.8	9.08
55.05	8.93
55.35	8.76
55.6	8.6
55.85	8.42
56.15	8.24
56.4	8.06
56.65	7.89
56.95	7.74
57.2	7.68
57.5	7.7
57.75	7.73
58	7.71
58.3	7.68
58.55	7.64
58.8	7.62
59.1	7.67
59.35	7.8
59.6	8
59.85	8.18
60.15	8.33
60.4	8.48
60.7	8.66
60.95	8.9
61.2	9.18
61.45	9.5
61.75	9.84
62	10.19
62.3	10.55
62.55	10.94
62.8	11.36
63.05	11.81
63.35	12.27
63.6	12.69
63.9	12.74
64.15	12.74
64.4	12.74
64.7	12.74
64.95	12.74
65.2	12.74
65.5	12.74
65.75	12.74
66	12.74
66.25	12.74
66.55	12.74
66.8	12.74
67.05	12.74
67.3	12.74
67.6	12.74
67.85	12.74
68.15	12.74
68.4	12.74
68.65	12.74
68.9	12.74
69.2	12.74
69.45	12.74
69.7	12.74
70	12.74
70.25	12.74
70.5	12.74
70.8	12.74
71.05	12.74
71.35	12.74
71.6	12.74
71.85	12.74
72.1	12.74
72.4	12.74
72.65	12.74
72.9	12.74
73.2	12.74
73.45	12.74
73.75	12.74
73.95	12.74
74.25	12.74
74.5	12.74
74.75	12.74
75.05	12.74
75.3	12.74
75.55	12.74
75.85	12.74
76.1	12.74
76.35	12.74
76.65	12.74
76.9	12.74
77.15	12.74
77.4	12.74
77.7	12.74
77.95	12.74
78.2	12.74
78.45	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
78.6	12.74
