DEF="Time" t / s	"Current" I_A1 / A	"Voltage" U_B1 / V	"Relay" R_1	"Voltage source" S_1	"Magnetic flux" &F / Vs
0	0.0005	0	0	1	0
0.0870000000000002	0.006	0.0575	1	1	0.00250125000000001
0.138	0.012	0.083	1	1	0.00608400000000002
0.188	0.018	0.1075	1	1	0.0108465
0.237	0.025	0.129	1	1	0.01664075
0.288	0.0325	0.153	1	1	0.02383175
0.338	0.04	0.1735	1	1	0.03199425
0.387	0.0475	0.195	1	1	0.0410225
0.438	0.0555	0.2165	1	1	0.05151575
0.487	0.0635	0.2375	1	1	0.06263875
0.538	0.0715	0.257	1	1	0.0752485
0.587	0.078	0.286	1	1	0.088552
0.638	0.082	0.3165	1	1	0.10391575
0.687	0.0865	0.3485	1	1	0.12020825
0.738	0.0905	0.378	1	1	0.138734
0.788	0.0955	0.4085	1	1	0.1583965
0.837	0.1	0.435	1	1	0.17906225
0.888	0.1055	0.465	1	1	0.20201225
0.937	0.111	0.489	1	1	0.22538525
0.987	0.117	0.5145	1	1	0.25047275
1.038	0.124	0.538	1	1	0.2773115
1.087	0.1315	0.5605	1	1	0.30422475
1.138	0.1395	0.5795	1	1	0.33329475
1.187	0.1475	0.554	1	1	0.3610655
1.238	0.1555	0.493	1	1	0.387764
1.287	0.1625	0.4325	1	1	0.41043875
1.337	0.169	0.3725	1	1	0.43056375
1.388	0.175	0.316	1	1	0.4481205
1.437	0.18	0.261	1	1	0.462257
1.488	0.184	0.208	1	1	0.4742165
1.537	0.1875	0.158	1	1	0.4831835
1.587	0.19	0.1105	1	1	0.489896
1.638	0.192	0.064	1	1	0.49434575
1.687	0.1925	0.0215	1	1	0.4964405
1.738	0.192	-0.0135	1	1	0.4966445
1.787	0.1875	-0.04	1	1	0.49533375
1.838	0.1805	-0.061	1	1	0.49275825
1.888	0.173	-0.0835	1	1	0.48914575
1.937	0.1645	-0.1015	1	1	0.48461325
1.988	0.1555	-0.1205	1	1	0.47895225
2.038	0.1465	-0.1365	1	1	0.47252725
2.088	0.1375	-0.155	1	1	0.46523975
2.137	0.1285	-0.173	1	1	0.45720375
2.187	0.1195	-0.19	1	1	0.44812875
2.237	0.1105	-0.209	1	1	0.43815375
2.286	0.102	-0.227	1	1	0.42747175
2.337	0.0935	-0.245	1	1	0.41543575
2.387	0.085	-0.265	1	1	0.40268575
2.437	0.0775	-0.2865	1	1	0.38889825
2.487	0.069	-0.3085	1	1	0.37402325
2.537	0.0615	-0.3285	1	1	0.35809825
2.587	0.054	-0.352	1	1	0.34108575
2.638	0.0465	-0.373	1	1	0.32259825
2.687	0.0395	-0.3965	1	1	0.3037455
2.738	0.032	-0.4195	1	1	0.2829375
2.787	0.0255	-0.445	1	1	0.26175725
2.837	0.0185	-0.4675	1	1	0.23894475
2.888	0.012	-0.4935	1	1	0.21443925
2.937	0.006	-0.5165	1	1	0.18969425
2.986	0	-0.54	1	1	0.16381
3.037	-0.0065	-0.5665	1	1	0.13559425
3.087	-0.013	-0.593	1	1	0.10660675
3.137	-0.019	-0.616	1	1	0.0763817500000001
3.187	-0.026	-0.642	1	1	0.0449317500000002
3.238	-0.0325	-0.6635	1	1	0.0116415000000002
3.287	-0.0395	-0.6865	1	1	-0.0214335000000001
3.337	-0.0475	-0.7065	1	1	-0.0562585
3.388	-0.0555	-0.728	1	1	-0.0928382500000001
3.438	-0.064	-0.744	1	1	-0.12963825
3.487	-0.0725	-0.7635	1	1	-0.166572
3.537	-0.0815	-0.726	1	1	-0.2038095
3.587	-0.0895	-0.6645	1	1	-0.238572
3.638	-0.0965	-0.604	1	1	-0.27091875
3.687	-0.103	-0.5485	1	1	-0.299155
3.737	-0.109	-0.488	1	1	-0.3250675
3.787	-0.114	-0.4335	1	1	-0.348105
3.838	-0.1185	-0.379	1	1	-0.36882375
3.887	-0.1225	-0.33	1	1	-0.38619425
3.938	-0.1265	-0.276	1	1	-0.40164725
3.987	-0.129	-0.229	1	1	-0.41401975
4.038	-0.1315	-0.179	1	1	-0.42442375
4.087	-0.1335	-0.136	1	1	-0.43214125
4.138	-0.135	-0.0885	1	1	-0.437866
4.187	-0.1355	-0.048	1	1	-0.44121025
4.237	-0.136	-0.0035	1	1	-0.44249775
4.288	-0.134	0.0265	1	1	-0.44191125
4.337	-0.129	0.054	1	1	-0.439939
4.387	-0.123	0.0775	1	1	-0.4366515
4.437	-0.116	0.1015	1	1	-0.4321765
4.488	-0.1085	0.1215	1	1	-0.42649
4.538	-0.1005	0.1435	1	1	-0.419865
4.588	-0.093	0.163	1	1	-0.4122025
4.637	-0.0845	0.1845	1	1	-0.40368875
4.686	-0.077	0.201	1	1	-0.394244
4.736	-0.069	0.2235	1	1	-0.3836315
4.788	-0.0605	0.2425	1	1	-0.3715155
4.837	-0.0525	0.265	1	1	-0.35908175
4.886	-0.045	0.2845	1	1	-0.345619
4.938	-0.0375	0.308	1	1	-0.330214
4.987	-0.03	0.3285	1	1	-0.31461975
5.036	-0.0225	0.353	1	1	-0.297923
5.087	-0.015	0.375	1	1	-0.279359
5.137	-0.008	0.3995	1	1	-0.2599965
5.188	-0.001	0.4235	1	1	-0.23901
5.237	0.005	0.447	1	1	-0.21768275
5.288	0.012	0.472	1	1	-0.19424825
5.338	0.018	0.4965	1	1	-0.17003575
5.387	0.0245	0.52	1	1	-0.1451315
5.437	0.031	0.547	1	1	-0.118456499999999
5.488	0.037	0.5715	1	1	-0.0899347499999994
5.537	0.0435	0.597	1	1	-0.0613064999999997
5.587	0.05	0.6205	1	1	-0.0308690000000003
5.637	0.057	0.6455	1	1	0.000781000000000105
5.687	0.0635	0.6675	1	1	0.0336060000000006
5.737	0.071	0.6915	1	1	0.0675809999999998
5.786	0.0785	0.712	1	1	0.101966750000001
5.836	0.0865	0.732	1	1	0.13806675
5.887	0.095	0.6875	1	1	0.174264
5.937	0.103	0.623	1	1	0.207026500000001
5.987	0.1105	0.5625	1	1	0.236664
6.037	0.1175	0.5	1	1	0.2632265
6.086	0.124	0.442	1	1	0.2863055
6.137	0.13	0.385	1	1	0.307394
6.187	0.1355	0.3275	1	1	0.3252065
6.237	0.14	0.275	1	1	0.340269
6.287	0.144	0.223	1	1	0.352719
6.337	0.1475	0.1715	1	1	0.3625815
6.387	0.15	0.1245	1	1	0.3699815
6.437	0.1515	0.0795	1	1	0.3750815
6.487	0.1525	0.0355	1	1	0.3779565
6.536	0.1525	-0.004	1	1	0.37872825
6.588	0.1495	-0.034	1	1	0.37774025
6.638	0.144	-0.0595	1	1	0.37540275
6.687	0.137	-0.0815	1	1	0.37194825
6.737	0.1295	-0.1035	1	1	0.36732325
6.787	0.1215	-0.123	1	1	0.36166075
6.838	0.113	-0.1435	1	1	0.354865
6.887	0.105	-0.162	1	1	0.34738025
6.938	0.0965	-0.182	1	1	0.33860825
6.987	0.088	-0.2	1	1	0.32924925
7.037	0.08	-0.219	1	1	0.31877425
7.087	0.0715	-0.239	1	1	0.30732425
7.136	0.0635	-0.26	1	1	0.29509875
7.188	0.056	-0.2815	1	1	0.28101975
7.237	0.048	-0.3035	1	1	0.26668725
7.288	0.041	-0.3255	1	1	0.25064775
7.337	0.0335	-0.3495	1	1	0.234110250000001
7.386	0.0265	-0.372	1	1	0.2164335
7.438	0.0195	-0.397	1	1	0.1964395
7.488	0.013	-0.42	1	1	0.1760145
7.537	0.0065	-0.445	1	1	0.154822
7.587	0	-0.469	1	1	0.131972000000001
7.637	-0.0055	-0.495	1	1	0.107872
7.687	-0.012	-0.52	1	1	0.0824969999999999
7.737	-0.0175	-0.546	1	1	0.0558470000000005
7.788	-0.024	-0.571	1	1	0.0273635000000004
7.837	-0.0305	-0.5955	1	1	-0.00121574999999933
7.887	-0.037	-0.6205	1	1	-0.0316157499999998
7.938	-0.0435	-0.644	1	1	-0.0638604999999999
7.987	-0.0505	-0.665	1	1	-0.0959309999999995
8.037	-0.0585	-0.687	1	1	-0.129731
8.088	-0.0665	-0.706	1	1	-0.1652525
8.137	-0.075	-0.725	1	1	-0.200312
8.187	-0.084	-0.7425	1	1	-0.2369995
8.238	-0.093	-0.687	1	1	-0.27345175
8.287	-0.101	-0.624	1	1	-0.30557125
8.337	-0.109	-0.5615	1	1	-0.335208749999999
8.388	-0.1155	-0.5005	1	1	-0.36228975
8.437	-0.122	-0.4445	1	1	-0.38544225
8.488	-0.1275	-0.386	1	1	-0.40662
8.537	-0.1325	-0.334	1	1	-0.42426
8.587	-0.1365	-0.2815	1	1	-0.4396475
8.637	-0.14	-0.231	1	1	-0.45246
8.686	-0.1425	-0.1835	1	1	-0.46261525
8.738	-0.1445	-0.135	1	1	-0.47089625
8.787	-0.1455	-0.092	1	1	-0.47645775
8.837	-0.1465	-0.0475	1	1	-0.47994525
8.887	-0.147	-0.0055	1	1	-0.48127025
8.938	-0.145	0.026	1	1	-0.4807475
8.987	-0.1405	0.052	1	1	-0.4788365
9.037	-0.134	0.0755	1	1	-0.475649
9.087	-0.127	0.099	1	1	-0.4712865
9.138	-0.1195	0.1195	1	1	-0.46571475
9.188	-0.111	0.1395	1	1	-0.45923975
9.236	-0.1035	0.159	1	1	-0.45207575
9.287	-0.095	0.179	1	1	-0.44345675
9.337	-0.0865	0.199	1	1	-0.43400675
9.387	-0.0785	0.2175	1	1	-0.42359425
9.438	-0.07	0.238	1	1	-0.411979
9.487	-0.0625	0.2575	1	1	-0.39983925
9.537	-0.054	0.2795	1	1	-0.38641425
9.587	-0.0465	0.3005	1	1	-0.37191425
9.637	-0.039	0.322	1	1	-0.35635175
9.687	-0.031	0.3445	1	1	-0.33968925
9.738	-0.024	0.368	1	1	-0.321520499999999
9.787	-0.017	0.3905	1	1	-0.30293725
9.837	-0.01	0.4135	1	1	-0.28283725
9.887	-0.003	0.4375	1	1	-0.26156225
9.938	0.0035	0.462	1	1	-0.238625
9.987	0.01	0.486	1	1	-0.215399
10.037	0.0165	0.5105	1	1	-0.1904865
10.087	0.0225	0.536	1	1	-0.164324
10.137	0.029	0.5625	1	1	-0.1368615
10.188	0.0355	0.586	1	1	-0.10757475
10.238	0.042	0.611	1	1	-0.0776497499999992
10.287	0.0485	0.6355	1	1	-0.0471104999999995
10.337	0.0555	0.6595	1	1	-0.0147355000000002
10.388	0.0625	0.681	1	1	0.0194472499999999
10.438	0.07	0.705	1	1	0.0540972500000004
10.487	0.0775	0.724	1	1	0.08910775
10.537	0.0855	0.743	1	1	0.125782750000001
10.587	0.094	0.6785	1	1	0.16132025
10.637	0.102	0.617	1	1	0.19370775
10.688	0.1095	0.5535	1	1	0.2235555
10.738	0.116	0.495	1	1	0.249768000000001
10.787	0.1225	0.437	1	1	0.272602
10.837	0.128	0.3795	1	1	0.2930145
10.887	0.1335	0.3235	1	1	0.3105895
10.937	0.138	0.2705	1	1	0.3254395
10.987	0.142	0.2165	1	1	0.3376145
11.037	0.145	0.1695	1	1	0.3472645
11.087	0.1475	0.1215	1	1	0.3545395
11.137	0.149	0.076	1	1	0.359477
11.188	0.15	0.031	1	1	0.3622055
11.237	0.15	-0.0065	1	1	0.36280575
11.287	0.1465	-0.0375	1	1	0.36170575
11.337	0.141	-0.0605	1	1	0.35925575
11.387	0.134	-0.0845	1	1	0.35563075
11.438	0.127	-0.1045	1	1	0.35081125
11.487	0.1185	-0.126	1	1	0.345164
11.537	0.1105	-0.1445	1	1	0.3384015
11.587	0.102	-0.1655	1	1	0.3306515
11.637	0.094	-0.1825	1	1	0.3219515
11.687	0.0855	-0.204	1	1	0.312289
11.737	0.0775	-0.221	1	1	0.301664
11.787	0.069	-0.2425	1	1	0.2900765
11.838	0.061	-0.263	1	1	0.27718625
11.887	0.0535	-0.2855	1	1	0.263748
11.937	0.046	-0.3055	1	1	0.248973
11.988	0.0385	-0.3295	1	1	0.2327805
12.037	0.031	-0.352	1	1	0.21608375
