DEF="Time" t / s	"Current" I_A1 / A	"Voltage" U_B1 / V	"Relay" R_1	"Voltage source" S_1	"Magnetic flux" &F / Vs
0	0.0005	0	0	1	0
0.0630000000000002	0.0085	0.0595	1	1	0.00187425
0.114	0.0215	0.0935	1	1	0.00577575000000002
0.163	0.036	0.123	1	1	0.01108
0.213	0.0515	0.1525	1	1	0.0179675
0.263	0.067	0.1795	1	1	0.0262675
0.313	0.0835	0.2085	1	1	0.0359675
0.363	0.099	0.2355	1	1	0.0470675000000001
0.413	0.1155	0.262	1	1	0.059505
0.463	0.1325	0.2855	1	1	0.0731925
0.513	0.151	0.308	1	1	0.0880299999999999
0.564	0.1695	0.3275	1	1	0.10423525
0.614	0.188	0.349	1	1	0.12114775
0.663	0.2065	0.3685	1	1	0.1387265
0.713	0.225	0.391	1	1	0.157714
0.763	0.2415	0.4215	1	1	0.1780265
0.813000000000001	0.256	0.452	1	1	0.199864
0.863	0.271	0.484	1	1	0.223264
0.913	0.2865	0.5125	1	1	0.2481765
0.964	0.3035	0.537	1	1	0.27493875
1.013	0.321	0.558	1	1	0.30176625
1.063	0.34	0.576	1	1	0.33011625
1.113	0.361	0.589	1	1	0.35924125
1.164	0.383	0.5925	1	1	0.3893695
1.214	0.4005	0.4855	1	1	0.4163195
1.263	0.413	0.388	1	1	0.43772025
1.313	0.421	0.298	1	1	0.45487025
1.363	0.426	0.2195	1	1	0.46780775
1.412	0.4275	0.147	1	1	0.476787
1.463	0.426	0.0865	1	1	0.48274125
1.513	0.4215	0.0295	1	1	0.48564125
1.563	0.414	-0.0135	1	1	0.48604125
1.613	0.4015	-0.0465	1	1	0.48454125
1.663	0.3865	-0.0715	1	1	0.48159125
1.713	0.369	-0.095	1	1	0.47742875
1.763	0.3505	-0.115	1	1	0.47217875
1.814	0.3315	-0.135	1	1	0.46580375
1.863	0.312	-0.152	1	1	0.45877225
1.913	0.292	-0.171	1	1	0.45069725
1.964	0.273	-0.1895	1	1	0.4415045
2.013	0.2545	-0.2095	1	1	0.431729
2.063	0.235	-0.228	1	1	0.4207915
2.113	0.216	-0.2485	1	1	0.408879
2.163	0.197	-0.2685	1	1	0.395954
2.213	0.178	-0.291	1	1	0.3819665
2.264	0.1595	-0.312	1	1	0.36659
2.314	0.1415	-0.334	1	1	0.35044
2.363	0.1245	-0.355	1	1	0.3335595
2.413	0.107	-0.38	1	1	0.3151845
2.463	0.09	-0.4045	1	1	0.295572
2.514	0.073	-0.432	1	1	0.27424125
2.563	0.057	-0.4595	1	1	0.2523995
2.613	0.0415	-0.4895	1	1	0.2286745
2.663	0.0265	-0.52	1	1	0.203437
2.713	0.0115	-0.5515	1	1	0.1766495
2.763	-0.003	-0.5815	1	1	0.1483245
2.813	-0.0175	-0.612	1	1	0.118487
2.864	-0.033	-0.6415	1	1	0.0865227500000002
2.913	-0.048	-0.6695	1	1	0.05440325
2.963	-0.064	-0.6955	1	1	0.0202782500000001
3.013	-0.0805	-0.7215	1	1	-0.0151467499999998
3.062	-0.0975	-0.744	1	1	-0.0510515
3.114	-0.116	-0.766	1	1	-0.0903114999999997
3.163	-0.1345	-0.7835	1	1	-0.12827425
3.213	-0.1545	-0.801	1	1	-0.16788675
3.263	-0.175	-0.8145	1	1	-0.20827425
3.313	-0.196	-0.8255	1	1	-0.24927425
3.364	-0.219	-0.835	1	1	-0.291617
3.413	-0.242	-0.843	1	1	-0.332728
3.463	-0.2665	-0.845	1	1	-0.374928
3.513	-0.2915	-0.831	1	1	-0.416828
3.563	-0.311	-0.715	1	1	-0.455478
3.613	-0.325	-0.613	1	1	-0.488678
3.663	-0.3365	-0.5135	1	1	-0.5168405
3.713	-0.345	-0.427	1	1	-0.540353
3.764	-0.3505	-0.3425	1	1	-0.55997525
3.813	-0.353	-0.271	1	1	-0.575006
3.864	-0.353	-0.202	1	1	-0.5870675
3.913	-0.351	-0.1435	1	1	-0.59553225
3.963	-0.346	-0.086	1	1	-0.60126975
4.013	-0.3395	-0.037	1	1	-0.60434475
4.063	-0.331	0.007	1	1	-0.60509475
4.113	-0.319	0.04	1	1	-0.60391975
4.163	-0.3045	0.071	1	1	-0.60114475
4.213	-0.2895	0.0965	1	1	-0.59695725
4.263	-0.2725	0.121	1	1	-0.59151975
4.313	-0.255	0.144	1	1	-0.58489475
4.363	-0.237	0.166	1	1	-0.57714475
4.414	-0.219	0.186	1	1	-0.56816875
4.463	-0.2005	0.209	1	1	-0.55849125
4.513	-0.182	0.2295	1	1	-0.54752875
4.563	-0.164	0.2525	1	1	-0.53547875
4.613	-0.146	0.2735	1	1	-0.52232875
4.663	-0.128	0.2975	1	1	-0.50805375
4.713	-0.111	0.319	1	1	-0.49264125
4.763	-0.0935	0.343	1	1	-0.47609125
4.813	-0.0765	0.3695	1	1	-0.45827875
4.864	-0.0595	0.396	1	1	-0.4387585
4.913	-0.0435	0.4225	1	1	-0.41870525
4.963	-0.028	0.452	1	1	-0.39684275
5.014	-0.0125	0.4845	1	1	-0.372962
5.064	0.0015	0.516	1	1	-0.347949499999999
5.113	0.016	0.5475	1	1	-0.32189375
5.163	0.03	0.579	1	1	-0.29373125
5.213	0.0455	0.61	1	1	-0.26400625
5.263	0.0605	0.639	1	1	-0.232781249999999
5.313	0.076	0.6685	1	1	-0.20009375
5.362	0.092	0.693	1	1	-0.166736999999999
5.413	0.109	0.7185	1	1	-0.13074375
5.463	0.127	0.7415	1	1	-0.0942437499999998
5.513	0.145	0.7625	1	1	-0.0566437499999992
5.564	0.1645	0.7825	1	1	-0.0172462499999991
5.613	0.184	0.7975	1	1	0.0214637500000005
5.663	0.2045	0.8105	1	1	0.0616637499999996
5.714	0.226	0.824	1	1	0.1033435
5.763	0.249	0.832	1	1	0.143915500000001
5.814	0.2725	0.837	1	1	0.186475000000001
5.862	0.2965	0.812	1	1	0.226051000000001
5.912	0.3155	0.699	1	1	0.263826
5.963	0.331	0.589	1	1	0.29667
6.013	0.342	0.492	1	1	0.323695000000001
6.063	0.351	0.401	1	1	0.34602
6.112	0.3565	0.321	1	1	0.363709000000001
6.163	0.36	0.2425	1	1	0.37807825
6.213	0.3605	0.173	1	1	0.38846575
6.263	0.359	0.109	1	1	0.39551575
6.313	0.3545	0.0525	1	1	0.39955325
6.364	0.3485	0.0025	1	1	0.40095575
6.413	0.338	-0.034	1	1	0.400184
6.463	0.3245	-0.0655	1	1	0.3976965
6.512	0.309	-0.0905	1	1	0.3938745
6.563	0.292	-0.115	1	1	0.38863425
6.614	0.274	-0.137	1	1	0.38220825
6.663	0.2555	-0.1585	1	1	0.3749685
6.712	0.2375	-0.1775	1	1	0.3667365
6.763	0.2185	-0.2005	1	1	0.3570975
6.814	0.1995	-0.22	1	1	0.34637475
6.863	0.1815	-0.2415	1	1	0.335068
6.913	0.163	-0.2625	1	1	0.322468000000001
6.963	0.145	-0.286	1	1	0.3087555
7.014	0.127	-0.3085	1	1	0.29359575
7.063	0.11	-0.3315	1	1	0.277915750000001
7.113	0.0925	-0.3555	1	1	0.26074075
7.163	0.0765	-0.382	1	1	0.242303250000001
7.213	0.06	-0.409	1	1	0.22252825
7.263	0.0435	-0.439	1	1	0.20132825
7.313	0.0285	-0.469	1	1	0.178628250000001
7.364	0.0135	-0.5025	1	1	0.153855000000001
7.414	-0.0005	-0.5335	1	1	0.127955
7.463	-0.0145	-0.565	1	1	0.10104175
7.513	-0.029	-0.5955	1	1	0.07202925
7.563	-0.044	-0.626	1	1	0.0414917500000007
7.612	-0.0595	-0.6545	1	1	0.0101194999999999
7.663	-0.075	-0.682	1	1	-0.0239612499999991
7.713	-0.0915	-0.7065	1	1	-0.0586737499999996
7.763	-0.109	-0.7305	1	1	-0.0945987500000001
7.813	-0.127	-0.751	1	1	-0.131636249999999
7.863	-0.1455	-0.77	1	1	-0.16966125
7.914	-0.1655	-0.786	1	1	-0.20933925
7.963	-0.186	-0.8	1	1	-0.24819625
8.012	-0.207	-0.811	1	1	-0.28766575
8.063	-0.23	-0.8195	1	1	-0.329243499999999
8.112	-0.2535	-0.825	1	1	-0.369533750000001
8.163	-0.2785	-0.827	1	1	-0.41165975
8.213	-0.3035	-0.784	1	1	-0.45193475
8.264	-0.3225	-0.669	1	1	-0.488986249999999
8.314	-0.337	-0.565	1	1	-0.51983625
8.363	-0.3475	-0.474	1	1	-0.545291749999999
8.413	-0.355	-0.3845	1	1	-0.56675425
8.464	-0.36	-0.3055	1	1	-0.584349249999999
8.513	-0.362	-0.233	1	1	-0.5975425
8.564	-0.361	-0.1665	1	1	-0.60772975
8.613	-0.358	-0.1085	1	1	-0.614467249999999
8.663	-0.353	-0.055	1	1	-0.618554749999999
8.713	-0.346	-0.009	1	1	-0.62015475
8.763	-0.335	0.0295	1	1	-0.61964225
8.813	-0.3215	0.06	1	1	-0.61740475
8.863	-0.306	0.0875	1	1	-0.61371725
