DEF="Time" t / s	"Current" I_A1 / A	"Voltage" U_B1 / V	"Relay" R_1	"Voltage source" S_1	"Magnetic flux" &F / Vs
0	0.0005	0	0	1	0
0.049	0.002	0	1	1	0
0.099	0.005	0.022	1	1	0.00055
0.149	0.01	0.026	1	1	0.00175
0.199	0.015	0.029	1	1	0.003125
0.249	0.02	0.0325	1	1	0.0046625
0.299	0.0255	0.036	1	1	0.006375
0.35	0.0305	0.039	1	1	0.0082875
0.399	0.0355	0.0415	1	1	0.01025975
0.449	0.041	0.045	1	1	0.01242225
0.499	0.046	0.0475	1	1	0.01473475
0.549	0.0515	0.0505	1	1	0.01718475
0.599	0.0565	0.053	1	1	0.01977225
0.649	0.062	0.056	1	1	0.02249725
0.699	0.0675	0.0585	1	1	0.02535975
0.749	0.073	0.061	1	1	0.02834725
0.799	0.0785	0.064	1	1	0.03147225
0.848	0.083	0.067	1	1	0.03468175
0.899	0.0885	0.071	1	1	0.03820075
0.949	0.093	0.076	1	1	0.04187575
0.999	0.0975	0.082	1	1	0.04582575
1.049	0.1015	0.089	1	1	0.05010075
1.099	0.1055	0.096	1	1	0.05472575
1.15	0.109	0.101	1	1	0.05974925
1.199	0.111	0.082	1	1	0.06423275
1.25	0.1115	0.0645	1	1	0.0679685
1.299	0.112	0.0475	1	1	0.0707125
1.35	0.1115	0.033	1	1	0.07276525
1.399	0.1105	0.0185	1	1	0.074027
1.449	0.109	0.006	1	1	0.0746395
1.5	0.107	-0.0045	1	1	0.07467775
1.549	0.104	-0.012	1	1	0.0742735
1.599	0.1005	-0.0185	1	1	0.073511
1.649	0.096	-0.024	1	1	0.0724485
1.698	0.0915	-0.0285	1	1	0.07116225
1.749	0.0865	-0.032	1	1	0.0696195
1.799	0.0815	-0.036	1	1	0.0679195
1.85	0.0765	-0.039	1	1	0.066007
1.899	0.0715	-0.0425	1	1	0.06401025
1.949	0.066	-0.0455	1	1	0.06181025
1.999	0.061	-0.0485	1	1	0.05946025
2.049	0.0555	-0.051	1	1	0.05697275
2.099	0.05	-0.054	1	1	0.05434775
2.149	0.045	-0.0565	1	1	0.05158525
2.199	0.0395	-0.0595	1	1	0.04868525
2.249	0.034	-0.0615	1	1	0.04566025
2.299	0.0285	-0.064	1	1	0.04252275
2.349	0.023	-0.066	1	1	0.03927275
2.4	0.018	-0.0685	1	1	0.035843
2.449	0.0125	-0.071	1	1	0.03242525
2.499	0.007	-0.074	1	1	0.02880025
2.549	0.0015	-0.0765	1	1	0.02503775
2.599	-0.003	-0.08	1	1	0.02112525
2.649	-0.008	-0.0835	1	1	0.01703775
2.699	-0.013	-0.087	1	1	0.01277525
2.75	-0.018	-0.0905	1	1	0.00824900000000002
2.799	-0.023	-0.0945	1	1	0.00371650000000003
2.849	-0.028	-0.0975	1	1	-0.00108349999999996
2.899	-0.033	-0.1015	1	1	-0.00605849999999998
2.949	-0.038	-0.1045	1	1	-0.0112085
2.999	-0.043	-0.1085	1	1	-0.0165334999999999
3.049	-0.048	-0.1115	1	1	-0.0220335
3.099	-0.053	-0.1155	1	1	-0.0277085
3.15	-0.0585	-0.119	1	1	-0.03368825
