DEF="Time" t / s	"Current" I_A1 / A	"Voltage" U_B1 / V	"Relay" R_1	"Voltage source" S_1	"Magnetic flux" &F / Vs
0	0.002	0	0	1	0
0.0569999999999999	0.0125	0.0765	1	1	0.00218025
0.107	0.0295	0.1195	1	1	0.00708024999999998
0.157	0.0475	0.1615	1	1	0.01410525
0.208	0.067	0.2025	1	1	0.02338725
0.257	0.0855	0.246	1	1	0.0343755
0.307	0.103	0.316	1	1	0.0484255
0.357	0.1135	0.365	1	1	0.0654504999999999
0.407	0.126	0.423	1	1	0.0851505
0.458	0.1395	0.4795	1	1	0.10816425
0.507	0.153	0.53	1	1	0.132897
0.557	0.169	0.579	1	1	0.160622
0.607	0.186	0.625	1	1	0.190722
0.658	0.2045	0.665	1	1	0.223617
0.707	0.2245	0.701	1	1	0.257084
0.757	0.2465	0.7325	1	1	0.2929215
0.808	0.2705	0.76	1	1	0.33098025
0.858	0.296	0.7795	1	1	0.36946775
0.908	0.3225	0.798	1	1	0.40890525
0.958	0.3515	0.8095	1	1	0.44909275
1.008	0.382	0.82	1	1	0.48983025
1.057	0.413	0.827	1	1	0.53018175
1.107	0.4455	0.8305	1	1	0.57161925
1.157	0.4795	0.8205	1	1	0.61289425
1.206	0.504	0.6805	1	1	0.64966875
1.257	0.5215	0.5505	1	1	0.68105925
1.307	0.533	0.4315	1	1	0.70560925
1.358	0.539	0.328	1	1	0.7249765
1.407	0.5405	0.2375	1	1	0.73883125
1.458	0.5385	0.155	1	1	0.74884
1.507	0.5325	0.086	1	1	0.7547445
1.558	0.5235	0.0205	1	1	0.75746025
1.608	0.5095	-0.0265	1	1	0.75731025
1.657	0.4915	-0.0625	1	1	0.75512975
1.707	0.4695	-0.0945	1	1	0.75120475
1.757	0.446	-0.1225	1	1	0.74577975
1.807	0.4215	-0.146	1	1	0.73906725
1.857	0.3965	-0.1715	1	1	0.73112975
1.908	0.3705	-0.1955	1	1	0.72177125
1.958	0.3455	-0.2205	1	1	0.71137125
2.007	0.3205	-0.2445	1	1	0.69997875
2.058	0.2955	-0.273	1	1	0.6867825
2.108	0.2715	-0.298	1	1	0.6725075
2.158	0.247	-0.3275	1	1	0.65687
2.207	0.224	-0.355	1	1	0.64014875
2.257	0.2	-0.3855	1	1	0.62163625
2.307	0.177	-0.4155	1	1	0.60161125
2.357	0.155	-0.444	1	1	0.58012375
2.407	0.132	-0.4775	1	1	0.55708625
2.458	0.11	-0.5135	1	1	0.53181575
2.508	0.089	-0.549	1	1	0.50525325
2.558	0.069	-0.5885	1	1	0.47681575
2.607	0.0495	-0.629	1	1	0.446987
2.658	0.031	-0.673	1	1	0.413786
2.707	0.012	-0.7135	1	1	0.37981675
2.758	-0.006	-0.7555	1	1	0.34235725
2.807	-0.025	-0.7955	1	1	0.30435775
2.858	-0.0445	-0.836	1	1	0.2627545
2.907	-0.0635	-0.874	1	1	0.2208595
2.957	-0.084	-0.9105	1	1	0.176247
3.007	-0.1055	-0.9425	1	1	0.129922
3.057	-0.1275	-0.9725	1	1	0.0820469999999998
3.107	-0.151	-0.999	1	1	0.0327595
3.157	-0.176	-1.021	1	1	-0.0177404999999998
3.207	-0.2025	-1.0235	1	1	-0.0688530000000005
3.257	-0.2305	-1.0235	1	1	-0.120028
3.307	-0.259	-1.0235	1	1	-0.171203
3.357	-0.29	-1.0235	1	1	-0.222378
3.408	-0.323	-1.0235	1	1	-0.2745765
3.457	-0.356	-1.0235	1	1	-0.324728000000001
3.507	-0.3905	-1.0235	1	1	-0.375903
3.557	-0.417	-0.9005	1	1	-0.424003
3.608	-0.438	-0.7585	1	1	-0.4663075
3.657	-0.453	-0.633	1	1	-0.50039925
3.707	-0.4635	-0.517	1	1	-0.52914925
3.757	-0.4705	-0.4125	1	1	-0.55238675
3.807	-0.4735	-0.3155	1	1	-0.57058675
3.858	-0.473	-0.2295	1	1	-0.58448425
3.908	-0.4695	-0.1495	1	1	-0.59395925
3.957	-0.463	-0.083	1	1	-0.5996555
4.007	-0.453	-0.0185	1	1	-0.602193
4.057	-0.4395	0.03	1	1	-0.6019055
4.108	-0.4215	0.068	1	1	-0.5994065
4.157	-0.401	0.1015	1	1	-0.59525375
4.208	-0.3785	0.132	1	1	-0.5892995
4.257	-0.355	0.159	1	1	-0.58217
4.308	-0.3315	0.187	1	1	-0.573347
4.357	-0.307	0.213	1	1	-0.563547
4.408	-0.283	0.2415	1	1	-0.55195725
4.457	-0.259	0.269	1	1	-0.53945
4.508	-0.2355	0.2985	1	1	-0.52497875
4.557	-0.212	0.328	1	1	-0.5096295
4.607	-0.189	0.3595	1	1	-0.492442
4.658	-0.1665	0.3905	1	1	-0.473317
4.707	-0.145	0.421	1	1	-0.45343525
4.757	-0.1225	0.4555	1	1	-0.43152275
4.807	-0.1015	0.4915	1	1	-0.407847750000001
4.858	-0.0805	0.5285	1	1	-0.381837750000001
4.907	-0.061	0.57	1	1	-0.3549245
4.957	-0.0425	0.6115	1	1	-0.325387000000001
5.007	-0.024	0.658	1	1	-0.2936495
5.058	-0.006	0.7	1	1	-0.2590205
5.108	0.0115	0.7435	1	1	-0.222933000000001
5.157	0.0305	0.786	1	1	-0.18546025
5.207	0.049	0.827	1	1	-0.145135250000001
5.258	0.069	0.866	1	1	-0.101963750000001
5.307	0.089	0.902	1	1	-0.058647750000001
5.358	0.111	0.9355	1	1	-0.0117915000000008
5.407	0.1335	0.965	1	1	0.0347707500000004
5.458	0.1575	0.9905	1	1	0.0846360000000005
5.507	0.182	1.012	1	1	0.13369725
5.558	0.2095	1.0235	1	1	0.1856025
5.607	0.2375	1.0235	1	1	0.235754
5.657	0.267	1.0235	1	1	0.286929
5.707	0.298	1.0235	1	1	0.338103999999999
5.758	0.3305	1.0235	1	1	0.390302499999999
5.807	0.3645	1.0235	1	1	0.440453999999999
5.857	0.4005	1.013	1	1	0.4913665
5.908	0.4275	0.859	1	1	0.5391025
5.957	0.447	0.723	1	1	0.577861499999999
